"date","yearBorn","yearDead","Name","description"
"1821-1 - 1","1821","-1","la Junta de Belem","primer antecedente de la independencia de Brasil"
"1973-1 - 1","1973","-1","la «Europa de los Nueve»","al incorporarse a la CEE el Reino Unido, Irlanda y Dinamarca."
"450-1-1","450","510","Eugendo","monje y santo francés "
"1431-1-1","1431","RBIC149215031503","Alejandro VI (Rodrigo Borgia)","papa de la Iglesia Católica entre 1492 y 1503 "
"1449-1-1","1449","1492","Lorenzo de Médici","banquero y político italiano, mecenas del Renacimiento "
"1467-1-1","1467","1548","Segismundo I Jagellón el Viejo","aristócrata polaco, rey entre 1506 y 1548 "
"1484-1-1","1484","1531","Ulrico Zuinglio","teólogo y filósofo suizo, fundador de la Iglesia Reformada Suiza "
"1492-1-1","1492","1550","Silvestro Ganassi dal Fontego","compositor italiano "
"1511-1-1","1511","1511","Enrique de Cornualles","aristócrata inglés "
"1516-1-1","1516","1551","Margaret Leijonhufvud","aristócrata sueca, esposa del rey Gustavo I "
"1536-1-1","1536","1597","Diego de Zúñiga","escritor y filósofo español "
"1557-1-1","1557","1606","István Bocskay","aristócrata transilvano "
"1614-1-1","1614","1672","John Wilkins","obispo británico "
"1618-1-1","1618","1682","Bartolomé Esteban Murillo","pintor español "
"1638-1-1","1638","1685","Go-Sai","emperador japonés "
"1655-1-1","1655","1728","Christian Thomasius","filósofo y escritor alemán "
"1697-1-1","1697","1763","Joseph François Dupleix","administrador colonial francés "
"1735-1-1","1735","1818","Paul Revere","patriota estadounidense "
"1745-1-1","1745","1824","Vicente María Strambi","religioso italiano "
"1752-1-1","1752","1836","Betsy Ross","patriota estadounidense "
"1768-1-1","1768","1849","Maria Edgeworth","escritora británica "
"1774-1-1","1774","1860","André Marie Constant Duméril","zoólogo y naturalista francés "
"1785-1-1","1785","1824","José Moldes","político y militar argentino "
"1787-1-1","1787","1847","Manuel José Arce","militar y político salvadoreño "
"1801-1-1","1801","1864","Christopher Fratin","escultor francés "
"1803-1-1","1803","1866","Manuel Felipe de Tovar","el 14° presidente de Venezuela "
"1814-1-1","1814","1864","Hong Xiuquan","rebelde chino "
"1816-1-1","1816","1880","Manuel Murillo Toro","político y escritor colombiano, presidente de la República en el siglo XIX "
"1823-1-1","1823","1849","Sándor Petőfi","poeta húngaro "
"1834-1-1","1834","1908","Ludovic Halévy","dramaturgo francés "
"1846-1-1","1846","1921","Francisco Tosta García","político y militar venezolano "
"1854-1-1","1854","1941","James George Frazer","antropólogo británico "
"1862-1-1","1862","1934","Rogelio Vigil de Quiñones","militar y médico español, uno de los últimos de Filipinas "
"1863-1-1","1863","1937","Pierre de Coubertin","pedagogo e historiador francés, promotor de los Juegos Olímpicos de la era moderna "
"1864-1-1","1864","1946","Alfred Stieglitz","fotógrafo estadounidense "
"1871-1-1","1871","1927","Manuel Gondra","político paraguayo "
"1872-1-1","1872","1938","Miguel Cabanellas","militar español "
"1873-1-1","1873","1952","Mariano Azuela","narrador mexicano "
"1874-1-1","1874","1927","Gustave Whitehead","aviador alemán "
"1878-1-1","1878","1929","Agner Krarup Erlang","matemático, estadístico e ingeniero danés "
"1878-1-1","1878","1914","Peyo Yavorov","poeta búlgaro "
"1879-1-1","1879","1952","William Fox","productor de cine estadounidense de origen húngaro, fundador de la Fox Film Corporation, antecesora de la 20th Century Studios "
"1879-1-1","1879","1970","Edward Morgan Forster","novelista y ensayista británico "
"1881-1-1","1881","1925","Vajiravudh","rey tailandés "
"1883-1-1","1883","1950","Alberto Gerchunoff","escritor y periodista argentino "
