"date","year","description"
"45-1-1","45","a. C. entrada en vigencia en Roma del calendario juliano."
"45-1-1","45","a. C. entrada en vigencia en Roma del calendario juliano."
"42-1-1","42","a. C. Deificación póstuma de Julio César por el Senado romano."
"69-1-1","69","Proclamación de emperador de Vitelio por parte de las legiones romanas de Germania Superior tras rehusar juramento de lealtad a Galba."
"193-1-1","193","el emperador Cómodo es declarado enemigo de Roma por el Senado romano."
"404-1-1","404","en Roma tiene lugar la última competición conocida entre gladiadores. Según la leyenda, en el año "
"630-1-1","630","el profeta Mahoma se dirige a La Meca con su ejército y la captura sin derramar sangre."
"990-1-1","990","la Rus de Kiev adopta el calendario juliano."
"1000-1-1","1000","según un mito historiográfico en esta fecha amplios sectores de la población europea creyeron que este día sucedería el fin del mundo (apocalipsis milenarista) al cumplirse los mil años del nacimiento de Jesucristo, por lo cual se produjeron disturbios y hubo masivas peregrinaciones hacia Jerusalén para poder morir en Tierra Santa. Actualmente se sabe que no sucedieron tales hechos cuyo relato se remonta al Renacimiento y fue popularizado por los historiadores del siglo XIX.[2][3][4][5][6]"
"1001-1-1","1001","en Praga (principado de Hungría), el papa Silvestre II corona a Esteban I como el primer rey de Hungría."
"1259-1-1","1259","en Nicea, Miguel VIII Paleólogos es proclamado coemperador con su compañero Juan IV Ducas Láscaris."
"1369-1-1","1369","Luis II el Bueno, duque de Borbón, instituye la Orden del Escudo de Oro."
"1432-1-1","1432","en la ciudad de Granada (España), Yusuf IV es proclamado sultán tras una sublevación popular que destrona a Muhammad IX."
"1438-1-1","1438","en Hungría, Alberto II de Habsburgo es coronado rey."
"1501-1-1","1501","fecha que tradicionalmente se considera como el final de los libros impresos llamados incunables."
"1502-1-1","1502","en Sudamérica, Américo Vespucio descubre la bahía de Guanabara, donde luego se fundaría Río de Janeiro."
"1504-1-1","1504","en Italia, el ejército español entra en Gaeta, terminando así la guerra que enfrentó a Francia y España por Nápoles."
"1515-1-1","1515","el rey Francisco I accede al trono."
"1527-1-1","1527","en el parlamento de Cetin, los aristócratas croatas eligen a Fernando I de Habsburgo como rey."
"1540-1-1","1540","en Perú, Pedro de Valdivia inicia su expedición a Chile. Sale del Cusco con un grupo reducido de españoles y pocos indígenas. Lo acompaña Inés de Suárez, la primera mujer que inscribe su nombre en la Historia de Chile."
"1567-1-1","1567","en Granada (España), Felipe II publica una pragmática contra la actitud levantisca de los moriscos, origen de la guerra de las Alpujarras."
"1574-1-1","1574","en Bolivia, el conquistador español Santiago Barba de Padilla funda la ciudad de Oropesa, que a partir de "
"1600-1-1","1600","Escocia comienza a usar el calendario juliano."
"1606-1-1","1606","en Santiago de Chile se realiza la primera exposición de Artes e Industrias. Estaban representadas la alfarería, la curtiduría y la torcedura de cáñamo."
"1651-1-1","1651","en Escocia, Carlos II es coronado rey."
"1652-1-1","1652","en Alemania, el físico Johann Lorenz Bausch funda la Academia Naturae Curiosorum."
"1660-1-1","1660","Samuel Pepys comienza a escribir su diario."
"1673-1-1","1673","entre Nueva York y Boston comienza a funcionar el correo regular."
"1700-1-1","1700","Rusia comienza a usar el calendario juliano."
"1707-1-1","1707","en Portugal, Juan V es coronado rey."
"1722-1-1","1722","se publica la Gaceta de México, el primer periódico de América Latina."
"1727-1-1","1727","en la Charité de Berlín (Alemania) se crea una unidad de obstetricia con una «sala independiente donde se acoge a las mujeres licenciosas poco antes del parto»."
"1739-1-1","1739","el explorador francés Jean-Baptiste Charles Bouvet de Lozier descubre la isla Bouvet."
"1764-1-1","1764","en Rusia, la zarina Catalina II ordena la confiscación de las propiedades de la Iglesia."
"1772-1-1","1772","en Londres se emiten por vez primera los cheques de viajero, que se podrán utilizar en "
"1776-1-1","1776","en Francia se suprimen las compañías de mosqueteros."
"1778-1-1","1778","En el Virreinato del Río de la Plata, el virrey Pedro de Cevallos funda el Pago de Matanza y Pozos."
"1788-1-1","1788","en Londres se publica el primer número del periódico The Times."
"1791-1-1","1791","en Lima (Perú) se publica el primer número del Mercurio Peruano."
"1797-1-1","1797","Albany sustituye a Nueva York como capital del estado de Nueva York."
"1800-1-1","1800","se disuelve la Compañía Neerlandesa de las Indias Orientales."
"1801-1-1","1801","se completa la unión legal del Reino de Gran Bretaña y el Reino de Irlanda que forma el Reino Unido de Gran Bretaña e Irlanda."
"1801-1-1","1801","el monje lombardo Giuseppe Piazzi (1746-1826) descubre el primer asteroide: Ceres."
"1804-1-1","1804","Jean-Jacques Desalines proclama la independencia de Haití, resucitando el antiguo nombre indígena de la isla."
"1806-1-1","1806","en Francia, Napoleón I deroga el calendario republicano y restablece el gregoriano."
"1808-1-1","1808","en los Estados Unidos se prohíbe la importación de esclavos."
"1809-1-1","1809","en Buenos Aires Martín de Álzaga encabeza una asonada con el propósito de destituir al virrey Santiago de Liniers."
"1818-1-1","1818","se publica “Frankenstein” de Mary Shelley."
"1818-1-1","1818","en Concepción se fecha la proclamación de la Acta de Independencia de Chile"
"1820-1-1","1820","en España, el teniente coronel Rafael de Riego se subleva en Las Cabezas de San Juan contra el absolutismo monárquico de Fernando VII y proclama la Constitución de 1812."
"1826-1-1","1826","en el estado Estado de México, Naucalpan se convierte en municipio."
"1830-1-1","1830","Guillermo I, rey de Wurtemberg instaura la Orden de Federico."
"1833-1-1","1833","el Reino Unido proclama su soberanía sobre las islas Malvinas."
"1841-1-1","1841","en Honduras toma posesión el primer presidente de la República, el general Francisco Ferrera."
"1845-1-1","1845","Filipinas se adapta al calendario gregoriano, por lo que ayer fue lunes 30 de diciembre de "
"1850-1-1","1850","en España se instaura un nuevo sistema de correo con sellos adhesivos."
"1857-1-1","1857","en Chile entra a regir el nuevo Código Civil."
"1860-1-1","1860","victoria española en la Batalla de los Castillejos."
"1863-1-1","1863","en los Estados Unidos entra en vigor la Proclamación de Emancipación para los esclavos en territorio confederado."
"1865-1-1","1865","en Chile se establece el sistema métrico decimal como sistema de medida oficial en el país."
"1865-1-1","1865","fundación del Nottingham Forest Football Club."
"1867-1-1","1867","el químico sueco Alfred Nobel obtiene por primera vez dinamita de manera industrial."
"1871-1-1","1871","en Buenos Aires (Argentina) entra en vigor el Código Civil argentino, redactado por Dalmacio Vélez Sarsfield."
"1872-1-1","1872","en el sur de la provincia de Buenos Aires (Argentina), un grupo de decenas de criollos asesinan a "
"1873-1-1","1873","Japón empieza a usar el calendario gregoriano."
"1873-1-1","1873","en Venezuela el presidente Antonio Guzmán Blanco establece el matrimonio civil."
"1877-1-1","1877","La reina Victoria es proclamada emperatriz de la India."
"1879-1-1","1879","en Barcelona se reedita el semanario satírico republicano L'Esquella de la Tortaza."
"1880-1-1","1880","en Panamá, Ferdinand de Lesseps comienza la construcción del canal transoceánico."
"1880-1-1","1880","fundación del Manchester City Football Club."
"1885-1-1","1885","en Chile, entran en vigor las leyes del matrimonio y de registro civil."
"1885-1-1","1885","en España, entra en vigor el primer reglamento del Ateneo de Madrid."
"1885-1-1","1885","en La Plata, Argentina, es inaugurada la casa de Dardo Rocha, construida en tan solo "
"1892-1-1","1892","Isla Ellis se convierte en el centro de acogida de nuevos inmigrantes a Estados Unidos."
"1898-1-1","1898","en Cuba asume sus funciones un gobierno autónomo."
"1899-1-1","1899","en Cuba, el ejército español. Gibraltar español entrega la isla a Estados Unidos, que la había mantenido ocupada durante tres años."
"1899-1-1","1899","en Cataluña sale a la calle el diario La Veu de Catalunya.[8]"
"1900-1-1","1900","el gobierno británico envía militares contra el emir de Nigeria, después de que este ofreciera una recompensa por cada «cabeza de británico» que le fuera entregada. Este mismo día, Nigeria se convierte en protectorado británico, con Frederick Lugard como gobernador general."
"1900-1-1","1900","en la colonia belga del Congo, los nativos masacran un fuerte y devoran a los supervivientes."
"1900-1-1","1900","en los Países Bajos se instaura la educación obligatoria."
"1900-1-1","1900","el archipiélago de las islas Hawái solicita un delegado en la convención nacional del Partido Republicano de Estados Unidos."
"1900-1-1","1900","en París se registra un fuerte derrumbe en parte de las obras de la construcción del tren subterráneo. No hay muertos, pero sí muchos heridos graves."
"1900-1-1","1900","en España se aprueba un nuevo artículo del Código Penal para combatir legalmente los nacionalismos catalán, vasco y otros que comienzan a irrumpir en la escena política española."
"1901-1-1","1901","en Australia se establece la Mancomunidad Británica (Commonwealth) mediante la unión de seis colonias."
"1901-1-1","1901","en España empieza a regir el horario oficial por el meridiano de Greenwich."
"1901-1-1","1901","en la colonia francesa de Madagascar (África) se inaugura la primera autopista del mundo, con una longitud de "
"1902-1-1","1902","en Pensilvania (Estados Unidos): Nathan Stubblefield realiza la primera demostración pública de radio."
"1902-1-1","1902","se inaugura en Charlottenburg (Alemania) el Licht-Luft-Institut, fundado por iniciativa de personas que pretenden reformar el modo de vida."
"1903-1-1","1903","en la ciudad de Delhi (India), el rey británico Eduardo VII es coronado emperador en medio de imponentes ceremonias."
"1903-1-1","1903","en París (Francia), el erudito J. C. Mardrus publica la primera versión completa en una lengua occidental del legendario libro Las mil y una noches ("
"1903-1-1","1903","en España aparece el primer número del periódico ABC."
"1905-1-1","1905","en Argentina se funda el Club Atlético Independiente."
"1910-1-1","1910","en Argentina se funda el Club Atlético Vélez Sarsfield."
"1910-1-1","1910","por primera vez los españoles inician el año comiendo doce uvas al son de las campanas, según una costumbre francesa."
"1911-1-1","1911","en la República de Nicaragua, el general Juan José Entrada es elegido presidente."
"1912-1-1","1912","en China, el gobierno revolucionario proclama la república y designa como presidente provisional al líder nacionalista Sun Yat-sen."
"1913-1-1","1913","en España dimite Antonio Maura, jefe del Partido Conservador."
"1914-1-1","1914","en Estados Unidos entra en servicio la primera aerolínea regular del mundo, entre San Peterburgo y Tampa, ambas en el estado de Florida."
"1915-1-1","1915","hunde el navío de línea británico Formidable."
"1916-1-1","1916","en el marco de la revolución mexicana, el político Venustiano Carranza llega con su séquito a la ciudad de Santiago de Querétaro, a la que proclama capital de la república."
"1917-1-1","1917","en Buenos Aires se funda el Club Atlético Los Andes, equipo de la segunda división argentina de fútbol."
"1918-1-1","1918","en Hollywood, el actor británico Charles Chaplin inaugura sus propios estudios cinematográficos."
"1919-1-1","1919","en Alemania, Rosa Luxemburgo, Karl Liebknecht y Wilhelm Pieck fundan el Partido Comunista alemán."
"1920-1-1","1920","en Barcelona, el Comité de Acción Civil organiza un gran mitin contra el terrorismo."
"1921-1-1","1921","en Nicaragua, Diego Manuel Chamorro comienza su mandato presidencial, caracterizado por la constante agitación."
"1921-1-1","1921","en La Gaceta de Madrid se publica la autorización para construir en la Moncloa la Facultad de Medicina y el Hospital Clínico."
"1923-1-1","1923","en Istres, el aviador Sadi Lecointe establece un nuevo récord mundial de velocidad, con una media de "
"1923-1-1","1923","en México, la selección mexicana de fútbol juega su primer partido internacional contra su similar de Guatemala ganando 5–2."
"1924-1-1","1924","en los Estados Unidos se prohíbe la inmigración japonesa."
"1925-1-1","1925","la capital de Noruega, Cristiana, pasa a llamarse Oslo."
"1925-1-1","1925","estreno en el teatro Español de la obra Hernani, adaptación de Antonio y Manuel Machado, de la obra homónima de Víctor Hugo."
"1926-1-1","1926","las aguas del Rin alcanzan su nivel más alto desde 1781."
"1927-1-1","1927","en el Reino Unido se produce la primera emisión de la BBC (British Broadcasting Corporation)."
"1928-1-1","1928","en Newark (Estados Unidos), el boxeador español Paulino Uzcudun vence por nocaut al estadounidense Pat Lester."
"1929-1-1","1929","en Nicaragua, José María Moncada, del Partido Liberal, asume la presidencia."
"1933-1-1","1933","en La Felguera (España) estallan varias bombas de gran potencia y se suceden numerosos disturbios en Sevilla que se alargarían durante varios días en otras ciudades de España, en la conocida como Revolución de enero de 1933."
"1934-1-1","1934","en Alemania entra en vigor la ley dictada por el gobierno nazi «para la prevención de la descendencia con enfermedades hereditarias»."
"1935-1-1","1935","en Japón, Mokichi Okada (Meishu-Sama), creador del Johrei, funda el movimiento Sekai kyusei kyo."
"1937-1-1","1937","Anastasio Somoza García se convierte en presidente dictador de Nicaragua."
"1938-1-1","1938","en Brasil, el presidente Getúlio Vargas inicia el Estado Novo, de tendencia fascista."
"1939-1-1","1939","en España se convierte en un deber para todas las jóvenes menores de "
"1942-1-1","1942","en Nueva York se firma la Declaración de las Naciones Unidas."
"1943-1-1","1943","en el marco de la Segunda Guerra Mundial, finaliza la larga batalla de Guadalcanal, con la victoria de los estadounidenses sobre los japoneses."
"1944-1-1","1944","Franco se niega a reconocer la república fascista de Salò, constituida por Mussolini."
"1944-1-1","1944","Erwin Rommel es nombrado subcomandante en jefe del grupo de ejércitos en Francia."
"1944-1-1","1944","en El Cairo (Egipto) se descubre la tumba del faraón Narmer."
"1945-1-1","1945","el XIV Ejército británico inicia una ofensiva en el norte de Birmania."
"1945-1-1","1945","el Comité de Lublin se declara Gobierno provisional polaco."
"1946-1-1","1946","en el Aeropuerto de Heathrow (Londres) se realiza el primer vuelo civil, con destino a Buenos Aires haciendo escala en Lisboa."
"1946-1-1","1946","inicia su publicación la revista literaria Ínsula."
"1946-1-1","1946","en una alocución radiofónica, el emperador Hirohito explica la génesis del mito del emperador en Japón."
"1947-1-1","1947","en el Reino Unido, el gobierno laborista de Clement Attlee nacionaliza las minas de carbón."
"1948-1-1","1948","en España, el Gobierno decreta la suspensión de los salvoconductos para circular por el interior."
"1948-1-1","1948","se estrena la primera ópera catalana de la posguerra, El giravolt de maig, de Toldrá."
"1948-1-1","1948","en Reino Unido se nacionaliza el ferrocarril."
"1948-1-1","1948","en España entra en vigor el GATT (Acuerdo General sobre Tarifas Aduaneras y Comercio)."
"1949-1-1","1949","los enfrentamientos entre clientes zulúes y mercaderes hindúes en el mercado oeste de Durban (Sudáfrica) causan la muerte de setenta y cinco personas."
"1949-1-1","1949","en Honduras el doctor Juan Manuel Gálvez toma posesión de la presidencia."
"1951-1-1","1951","la Organización de las Naciones Unidas crea el ACNUR (Alto Comisionado de Naciones Unidas para el Refugiado)."
"1952-1-1","1952","Javier de Borbón Parma se autoproclama rey ante un grupo de carlistas."
"1954-1-1","1954","en Santiago de Chile un gran incendio destruye el teatro Coliseo."
"1956-1-1","1956","Sudán se independiza del imperio británico."
"1957-1-1","1957","el ingeniero alemán Félix Wankel lleva a cabo el primer recorrido de prueba con el motor de pistón giratorio creado por él."
"1958-1-1","1958","se lanza el Explorer 1, primer satélite estadounidense."
"1958-1-1","1958","en Venezuela, el ejército se rebela contra el Gobierno."
"1959-1-1","1959","en Cuba: triunfa la rebelión contra la dictadura y comienza la Revolución cubana. El dictador Fulgencio Batista se refugia en República Dominicana y en su lugar toma el poder el comandante del Ejército Rebelde Fidel Castro."
"1960-1-1","1960","en Cuba, la revolución socialista nacionaliza, entre otras, la United Fruit Company, de capitales estadounidenses."
"1960-1-1","1960","Benín se independiza de Francia."
"1960-1-1","1960","Camerún se independiza de Francia."
"1960-1-1","1960","en Costa Rica se funda el Museo La Salle."
"1961-1-1","1961","Joaquín Balaguer asumió la presidencia de República Dominicana"
"1962-1-1","1962","Samoa se independiza del Imperio británico."
"1962-1-1","1962","en República Dominicana, tras el asesinato del dictador Rafael Leónidas Trujillo, asume el poder el Consejo de Estado, presidido por Joaquín Balaguer."
"1963-1-1","1963","en España, el Seguro Obligatorio de Enfermedad realiza una campaña de vacunación antipoliomelítica en masa."
"1964-1-1","1964","en España se inicia el I Plan de Desarrollo."
"1964-1-1","1964","en Europa entra en vigor la ley de frutas y verduras para el Mercado Común."
"1965-1-1","1965","en España, el dictador Franco levanta la prohibición de la lectura del Evangelio en español."
"1965-1-1","1965","en España se inaugura el segundo canal de Radiotelevisión española, el cual era conocido históricamente por «el UHF», «La Segunda Cadena» o «Cadena II» y en los años ochenta como TVE-2. Actualmente se le conoce como La 2."
"1968-1-1","1968","en Hungría se inicia la reforma económica."
"1969-1-1","1969","los enfrentamientos entre católicos y protestantes en Londonderry (Irlanda del Norte) causan "
"1970-1-1","1970","en Argentina se pone en circulación el nuevo Peso Ley 18.188, que equivale a cien pesos moneda nacional."
"1970-1-1","1970","comienza el Tiempo Unix."
"1970-1-1","1970","en Reino Unido se fija la mayoría de edad en los "
"1970-1-1","1970","entra en vigor en la República Federal Alemana una ley sobre la percepción salarial en caso de enfermedad."
"1971-1-1","1971","en Chile, el gobierno del Presidente Salvador Allende nacionaliza la banca privada."
"1971-1-1","1971","un terremoto registrado en Asia central produce un accidente ferroviario en Isfahán (Irán) que ocasiona "
"1973-1-1","1973","En México, entra en vigor la semana laboral de cinco días para los trabajadores del Estado.[9]"
"1974-1-1","1974","se firma un acuerdo pesquero hispanomarroquí por el cual "
"1975-1-1","1975","comienza el Año Internacional de la Mujer, auspiciado por la Asamblea General de la ONU de las Naciones Unidas."
"1975-1-1","1975","en Suecia entra en vigor una nueva Constitución."
"1976-1-1","1976","en Venezuela, el gobierno de Carlos Andrés Pérez nacionaliza la explotación de petróleo."
"1978-1-1","1978","cerca de Bombay (India), el vuelo 855 de Air India, un Boeing 747 de pasajeros se estrella en el océano. Mueren "
"1979-1-1","1979","la ONU proclama este año como Año Internacional del Niño."
"1979-1-1","1979","Estados Unidos y China Popular establecen relaciones diplomáticas."
"1980-1-1","1980","manifestantes afganos e iraníes asaltan en Teherán la embajada de la Unión Soviética, en protesta por la ocupación de Afganistán."
"1981-1-1","1981","Grecia ingresa en la CEE (Comunidad Económica Europea), convirtiéndose en el décimo miembro de esta organización."
"1982-1-1","1982","en la ONU, el peruano Javier Pérez de Cuéllar asume el cargo de secretario general."
"1983-1-1","1983","Historia de Internet: ARPANET deja de lado el protocolo NPC y adopta el TCP/IP."
"1983-1-1","1983","en Venezuela se inaugura oficialmente el Metro de Caracas."
"1984-1-1","1984","Brunéi obtiene su independencia definitiva."
"1985-1-1","1985","Jacques Delors sustituye a Gaston Thorn como presidente de la Comunidad Europea."
"1985-1-1","1985","en Arkansas (Estados Unidos), "
"1986-1-1","1986","España y Portugal ingresan en la CEE. Entra en vigor el IVA."
"1987-1-1","1987","se manifiestan en Pekín estudiantes a favor de la democracia y la clase trabajadora."
"1989-1-1","1989","en Canadá entra en vigor el Protocolo de Montreal, ratificado por "
"1990-1-1","1990","en Rumanía, el presidente del Consejo de Salvación Nacional anuncia la legalización del multipartidismo y otras medidas para acabar con el régimen comunista de Ceaucescu."
"1992-1-1","1992","en Argentina, el peso convertible reemplaza al austral como moneda."
"1993-1-1","1993","Checoslovaquia, tras "
"1993-1-1","1993","Entra en circulación el Nuevo Peso, la actual moneda mexicana, la cual equivale a "
"1993-1-1","1993","Se creó el Mercado interior de la Unión Europea"
"1994-1-1","1994","en Perú entra en vigencia la Constitución del presidente Alberto Fujimori."
"1994-1-1","1994","en el estado de Chiapas, México, se levanta el grupo guerrillero llamado Ejército Zapatista de Liberación Nacional (EZLN), cuyo líder más visible es el subcomandante Marcos."
"1994-1-1","1994","entra en funcionamiento el Espacio Económico Europeo (EEE) y el Tratado de Libre Comercio (TLC) de Canadá, Estados Unidos y México."
"1995-1-1","1995","Austria, Finlandia y Suecia ingresan a la Unión Europea."
"1995-1-1","1995","en Estados Unidos se crea la Organización Mundial de Comercio."
"1995-1-1","1995","durante la primera guerra con Chechenia, las tropas rusas toman Grozni."
"1995-1-1","1995","Fernando Henrique Cardoso se convierte en presidente del Brasil."
"1997-1-1","1997","el ghanés Kofi Annan toma posesión como secretario general de la ONU en sustitución del egipcio Butros Ghali."
"1997-1-1","1997","Pedro Roselló, gobernador de Puerto Rico, aboga por la anexión plena de Puerto Rico a Estados Unidos."
"1998-1-1","1998","cientos de personas, en su mayoría de origen kurdo, llegan a las costas italianas en un barco abandonado por la tripulación."
"1999-1-1","1999","se introduce una nueva moneda europea única el Euro."
"1999-1-1","1999","en la región de Kivu Sur (República Democrática de Congo) quinientos civiles son masacrados por las fuerzas rebeldes enfrentadas al presidente Laurent Kabila."
"1999-1-1","1999","en Brasil, Fernando Henrique Cardoso asume como presiente por segunda vez."
"2000-1-1","2000","ocurre el Y2K más conocido como el Problema del año "
"2000-1-1","2000","a las 12:"
"2001-1-1","2001","Suecia asume la presidencia de turno de la Unión Europea."
"2001-1-1","2001","el dólar entra en circulación en El Salvador."
"2002-1-1","2002","en la Unión Europea entra en vigor el euro como moneda única para "
"2003-1-1","2003","en Brasil, Luiz Inácio Lula da Silva se convierte en presidente."
"2003-1-1","2003","en Suiza, Pascal Couchepin elegido presidente."
"2006-1-1","2006","en España entra en vigor la ley antitabaco."
"2007-1-1","2007","Bulgaria y Rumanía se adhieren a la Unión Europea."
"2007-1-1","2007","en Brasil, Luiz Inácio Lula da Silva asume como presidente por segunda vez."
"2007-1-1","2007","Eslovenia adopta el euro."
"2007-1-1","2007","en Indonesia se estrella el Vuelo 574 de Adam Air, de la aerolínea indonesia Adam Air, falleciendo todos sus ocupantes."
"2008-1-1","2008","en Venezuela se introduce como nueva moneda de curso legal el bolívar fuerte (Bs. F.)."
"2008-1-1","2008","la parte grecochipriota de la isla de Chipre, las bases británicas de Acrotiri y Dhekelia establecidas en dicha isla y Malta adoptan el euro como moneda oficial."
"2008-1-1","2008","en Colombia se realiza la toma de posesión de los cargos electos en las elecciones regionales de 2007."
"2008-1-1","2008","Eslovenia asume, por primera vez en su historia, la presidencia semestral del Consejo de la Unión Europea."
"2008-1-1","2008","en Chile entra en erupción el volcán Llaima."
"2008-1-1","2008","el Uruguay se convierte en el primer país latinoamericano que permite, en el nivel nacional, uniones civiles entre personas del mismo género."
"2009-1-1","2009","Eslovaquia se une a la zona euro, sumando así "
"2009-1-1","2009","en Bangkok (Tailandia) se incendia una discoteca, dejando un saldo de "
"2010-1-1","2010","en Angra dos Reis (Brasil) deslizamientos de tierra provocados por lluvias resultan al menos "
"2011-1-1","2011","en Italia, prohíben la entrega de bolsas de plástico (polietileno) en las tiendas, ya que en su producción se utiliza demasiado petróleo y además demoran demasiado en degradarse, lo cual genera un peligro ambiental."
"2011-1-1","2011","en Brasil, Dilma Rousseff asume como presidente, sucediendo en el cargo a Lula da Silva."
"2011-1-1","2011","Estonia adopta el euro como moneda oficial. Bonaire, Saba y Sint Eustatius adoptan el dólar estadounidense como moneda oficial."
"2011-1-1","2011","en Buenos Aires (Argentina) comienza la 32.ª edición del Rally Dakar, que recorre Argentina y Chile."
"2012-1-1","2012","en Mar del Plata (Argentina) comienza la 33.ª edición del Rally Dakar, que recorre Argentina, Chile y Perú."
"2015-1-1","2015","en Brasil, Dilma Rousseff asume como presidenta por segunda vez."
"2016-1-1","2016","Cierre definitivo de la enciclopedia paródica frikipedia."
"2017-1-1","2017","en Estambul, un hombre vestido de Papá Noel empieza a disparar en un discoteca dejando "
"2017-1-1","2017","un motín en una cárcel de Brasil deja al menos "
"2017-1-1","2017","en Buyumbura es asesinado el político Emmanuel Niyonkuru por arma de fuego."
"2019-1-1","2019","en Brasil, Jair Bolsonaro jura su cargo como presidente del país, sucediendo en el cargo a Michel Temer."
"2019-1-1","2019","la sonda New Horizons sobrevuela "
"2019-1-1","2019","Es fundada la Empresa de Lucha Libre Estadounidense All Elite Wrestling conocida por siglas como AEW."
"2020-1-1","2020","en Ciudad de México, entra en vigor la prohibición de bolsas de plástico de un solo uso."
"2020-1-1","2020","en Wuhan, China, el mercado de Animales y Mariscos donde se cree que se originó el Brote es Cerrado por saneamiento y desinfección ambiental."
"2022-1-1","2022","Israel detecta el primer caso de 'flurona', la infección de gripe y COVID-"
"481-2-1","481","en Cartago (actual Túnez) el rey vándalo Hunerico organiza una conferencia entre obispos arrianos y católicos."
"1327-2-1","1327","en Londres, el adolescente Eduardo III accede al trono de Inglaterra, pero el país es controlado por su madre Isabel de Francia y el amante de esta, Roger Mortimer."
"1524-2-1","1524","en Londres, unos "
"1662-2-1","1662","en China, el general Koxinga invade la isla de Taiwán después de un sitio de nueve meses."
"1724-2-1","1724","en Guárico (Venezuela) se funda la aldea de Calabozo."
"1770-2-1","1770","En Nueva Orleans el gobernador ilustrado español-estadounidense Luis de Unzaga y Amézaga legaliza la actividad farmacéutica en Luisiana, pionera en Norteamérica."
"1771-2-1","1771","en Londres se publica la primera edición de la Encyclopedia britannica."
"1793-2-1","1793","Francia declara la guerra a Inglaterra."
"1814-2-1","1814","en Filipinas, erupciona el volcán Mayón. Mueren más de "
"1815-2-1","1815","llega a Venezuela un ejército español de "
"1820-2-1","1820","en el norte de la provincia de Buenos Aires, "
"1835-2-1","1835","en la República de Mauricio se abole la esclavitud."
"1851-2-1","1851","Honduras y El Salvador, que habían invadido Guatemala, son rechazadas en la batalla de La Arada."
"1859-2-1","1859","una comisión nombrada por el Secretario de Fomento de Francia presenta sus conclusiones para establecer un patrón de diapasón musical, que terminaría por extenderse más allá de dicho país."
"1861-2-1","1861","en el marco de la guerra civil estadounidense, el estado de Texas abandona los Estados Unidos de América y se incorpora a los desaparecidos Estados Confederados de América."
"1867-2-1","1867","en el marco de la Segunda intervención francesa en México, las tropas republicanas, al mando del general Mariano Escobedo, vencen a las tropas imperialistas, al mando del general Miguel Miramón, en la Batalla de San Jacinto, en la hacienda del mismo nombre, en Aguascalientes."
"1881-2-1","1881","en Barcelona se publica el primer número del diario La Vanguardia, uno de los de mayor circulación en España."
"1881-2-1","1881","en Panamá, los estadounidenses inauguran las obras de construcción del canal transoceánico."
"1884-2-1","1884","se publica el primer volumen (desde A hasta Ant) del Oxford English Dictionary."
"1887-2-1","1887","en La Plata, Argentina se inaugura el Cementerio de La Plata, cuyo diseño replica al trazado de la ciudad.[2]"
"1893-2-1","1893","en West Orange, cerca de Nueva Jersey, termina la construcción del Black María, el primer estudio cinematográfico, creado por el inventor Thomas A. Edison."
"1897-2-1","1897","en Seúl (Corea del Sur) se abre el banco más antiguo de ese país, el Shinhan Bank."
"1900-2-1","1900","en la ciudad de Frankfort (Estados Unidos), el gobernador Taylor toma posesión de varios edificios gubernamentales, con ayuda de simpatizantes armados y tropas estatales."
"1900-2-1","1900","en los Estados Unidos, unos "
